qidianUrl,webnovelUrl,qidianBookId,webnovelBookId
https://www.qidian.com/book/1011512936/,https://www.webnovel.com/book/monster-pet-evolution_10700626806140405,1011512936,10700626806140405
https://www.qidian.com/book/1015421270/,https://www.webnovel.com/book/mages-are-too-op_16005365905643805,1015421270,16005365905643805
https://www.qidian.com/book/1005406434/,https://www.webnovel.com/book/shadow-hack_8092314906003205,1005406434,8092314906003205
https://www.qidian.com/book/1911245/,https://www.webnovel.com/book/god-of-slaughter_6838665602002305,1911245,6838665602002305
https://www.qidian.com/book/1003374314/,https://www.webnovel.com/book/returning-from-the-immortal-world_11479642806390005,1003374314,11479642806390005
https://www.qidian.com/book/1192037/,https://www.webnovel.com/book/another-world%E2%80%99s-versatile-crafting-master_11275087605321405,1192037,11275087605321405
Nan,https://www.webnovel.com/book/i%E2%80%99m-really-a-superstar_7834223205001705,,7834223205001705
Nan,https://www.webnovel.com/book/reborn-aristocrat-return-of-the-vicious-heiress_11721789506489705,,11721789506489705
Nan,https://www.webnovel.com/book/evil-emperor's-wild-consort_7979503906002405,,7979503906002405
https://www.qidian.com/book/3569244/,https://www.webnovel.com/book/i-have-a-mansion-in-the-post-apocalyptic-world_7143532406000605,3569244,7143532406000605
https://www.qidian.com/book/1524659/,https://www.webnovel.com/book/otherworldly-evil-monarch_6838665602002905,1524659,6838665602002905
https://www.qidian.com/book/1562523/,https://www.webnovel.com/book/tempest-of-the-stellar-war_7922313105002205,1562523,7922313105002205
https://www.qidian.com/book/1003489343/,https://www.webnovel.com/book/advent-of-the-archmage_9112051305002005,1003489343,9112051305002005
Nan,https://www.webnovel.com/book/young-master-mo-are-you-done-kissing_12584919806006905,,12584919806006905
https://www.qidian.com/book/1012237441/,https://www.webnovel.com/book/world's-best-martial-artist_14495258805541605,1012237441,14495258805541605
https://www.qidian.com/book/2136013/,https://www.webnovel.com/book/mmorpg-rebirth-of-the-legendary-guardian_7141974606000205,2136013,7141974606000205
https://www.qidian.com/book/1016078337/,https://www.webnovel.com/book/picking-up-attributes-from-today_18001051406028305,1016078337,18001051406028305
https://www.qidian.com/book/3362920/,https://www.webnovel.com/book/realms-in-the-firmament_6831851602001005,3362920,6831851602001005
https://www.qidian.com/book/1023586297/,https://www.webnovel.com/book/all-my-beasts-are-legendary_18675215105541305,1023586297,18675215105541305
https://www.qidian.com/book/2673646/,https://www.webnovel.com/book/castle-of-black-iron_6838665602002505,2673646,6838665602002505
https://www.qidian.com/book/3456256/,https://www.webnovel.com/book/warlock-of-the-magus-world_8058923005003605,3456256,8058923005003605
